smiles,BM,SA,SC
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCCCC,2671260572,3.207331128,3.338917198
*C(C*)c1ccc(cc1)c1ccccc1,2442926795,3.267400376,2.764095896
*C(C*)c1ccc(cc1)COCCOCC,2638527695,3.669356191,2.726303917
*C(C*)c1ccc(cc1)C#N,2794517371,4.208675402,2.256511188
*C(C*)c1ccc(cc1)Cl,2377392172,4.1097311,2.229277029
*C(C*)c1ccc(cc1)Br,2391433504,4.233529561,1.9896503
*C(C*)c1ccc(cc1)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2151511435,4.065470177,3.240153251
*C(C*)c1ccc(cc1)C(=NO)C,3110292994,4.150007138,2.430708832
*C(C*)c1ccc(cc1)C(O)(C)C,3144148375,4.147099249,2.70351459
*C(C*)c1ccc(cc1)C(CC)(O)C,2614080310,4.465240241,2.929858284
*C(C*)c1ccc(cc1)C(CCC)(O)C,2835678653,4.356420123,2.80376597
*C(C*)c1ccc(cc1)C(CCCC)(O)C,2761051897,4.220278286,2.964009867
*C(C*)c1ccc(cc1)C(CCCCC)(O)C,2456421145,4.117727744,3.078427117
*C(C*)c1ccc(cc1)C(CCN(C)C)O,3277107369,4.147510727,3.006730241
*C(C*)c1ccc(cc1)C(CCN1CCCCC1)O,3075568703,3.827767897,3.321326325
*C(C*)c1ccc(cc1)C(CCN1CCOCC1)O,4079241561,3.907315265,3.401291291
*C(C*)c1ccc(cc1)COC,2231050782,3.901488975,2.722398882
*C(C*)c1ccc(cc1)COCCO,3352061246,3.830512014,2.49077112
*C(C*)c1ccc(cc1)COCCC,2523658518,3.756454871,2.638273194
*C(C*)c1ccc(cc1)COCCCC,2395779642,3.631273085,2.624836095
*C(C*)c1ccc(cc1)COCCCCO,3771915836,3.670348499,2.462797718
*C(C*)c1ccc(cc1)COC(CC)C,2086379984,4.118770213,2.740969554
*C(C*)c1ccc(cc1)COCCCCCC,2455278117,3.492090443,2.774107518
*C(C*)c1ccc(cc1)COCCOCCCC,2813936687,3.556975091,2.855900213
