smiles,TC,SA,SC,atom_count
*C(C*)c1cc(c(cc1)Cl)F,0.121296834,4.293457132,2.514140111,12
*C(C*)c1c(cc(cc1C)C)C,0.232927166,4.203931509,2.406710412,13
*C(C*)c1c(cc(c(c1)C)C)C,0.249066929,4.186416124,2.704355036,13
*C(C*)c1c(c(c(c(c1F)F)F)F)F,0.111121575,4.552457242,2.763695551,15
*C(C*)(c1ccccc1)C,0.20669134,4.039212638,2.314657348,11
*C(C*)(c1ccc(cc1)C(C)C)C,0.22250314,3.86395663,2.736255714,14
*C(C(*)(F)F)(c1ccccc1)F,0.209551814,3.925420196,1.809397732,13
*C(C(*)(F)F)(c1c(c(c(c(c1F)F)F)F)F)F,0.109340544,4.260336535,2.129067633,18
*C(C*)c1c2c(ccc1)cccc2,0.183531473,3.591751349,2.59103347,14
*C(C*)c1ccc(cc1)C(=O)C,0.237084593,3.882471173,2.117206295,13
*C(C*)c1ccc(cc1)C(=O)CCN1CCOCC1,0.241083815,3.52289498,2.914520786,20
*C(C*)(C(=O)OC)c1ccccc1,0.174256665,3.923433049,2.175878352,14
*C(C*)(c1ccc(cc1)C)C,0.206248478,3.992861459,2.426621645,12
*C(C(*)c1ccccc1)[N+](=O)[O-],0.16724356,4.396950498,1.736667897,13
*C(C*)c1ccc(cc1)C(=O)C(F)(F)F,0.154440392,3.995251546,2.605984507,16
*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)OC,0.245710563,3.202997163,2.554756287,20
*C(C*)c1cc2c(cc1)cccc2,0.189317179,3.637128657,2.593717072,14
*C(C*)c1ccncc1,0.194624132,4.649238372,2.418390721,10
*C(C*)c1nc(ccc1)C,0.231875326,4.5346511,2.124443631,11
*C(C*)c1ccc(nc1)C,0.216347814,4.523463407,2.636301544,11
*C(C*)N1Nc2c(C1)cccc2,0.210041586,4.620823902,2.867826529,13
*C(C(C(C*)c1ncccc1)c1ccccc1)c1ncccc1,0.19889562,4.089378286,2.901175078,24
*C(C*)c1ccc(cc1)O,0.28470777,4.274232638,2.406268443,11
