smiles,qm_homo_monomer,qm_lumo_monomer
*C(C*)c1c(cccc1)COCCC(C)C,-9.029115071,1.777254157
*C(C*)c1c(cccc1)COCc1ccccc1,-9.023950481,1.586600098
*C(C*)c1c(cccc1)COCCc1ccccc1,-8.839013078,1.78075837
*C(C*)c1c(cccc1)C(=O)NC,-9.185466762,1.210516105
*C(C*)c1c(cccc1)C(=O)N(C)C,-9.063355785,1.434991186
*C(C*)c1c(cccc1)C(=O)Nc1ccccc1,-8.506568165,0.900434971
*C(C*)c1c(cccc1)C(=O)O,-9.34652038,0.679899473
*C(C*)c1c(cccc1)C(=O)OC,-9.262941436,0.814055861
*C(C*)c1c(cccc1)C(=O)OCC,-9.24871581,0.821648156
*C(C*)c1c(cccc1)C(=O)OCCC,-9.255970588,0.808101748
*C(C*)c1c(cccc1)C(=O)OC(C)C,-9.233140865,0.848551118
*C(C*)c1c(cccc1)C(=O)OCCCC,-9.256280921,0.806164513
*C(C*)c1c(cccc1)C(=O)OCC(C)C,-9.259171608,0.801306379
*C(C*)c1c(cccc1)C(=O)OCCCCC,-9.25801441,0.824079096
*C(C*)c1c(cccc1)C(=O)OCCC(C)C,-9.263399689,0.810741164
*C(C*)c1c(cccc1)C(=O)OCCCCCC,-9.257398849,0.893293523
*C(C*)c1c(cccc1)C(=O)Oc1ccccc1,-9.204329411,0.628340067
*C(C*)c1c(cccc1)C(=O)OCCN(C)C,-8.725464163,0.997960557
*C(C*)c1ccc(cc1)C(=O)OCCN(C)C,-8.637743934,0.824582864
*C(C*)c1c(cccc1)OC,-8.350693629,2.002905894
*C(C*)c1c(cccc1)Cl,-9.141878514,1.604077206
*C(C*)c1c(cccc1)F,-9.043787122,1.811165731
*C(C*)c1cc(ccc1)C,-8.833778183,1.972837322
*C(C*)c1cc(ccc1)CC,-8.858525478,1.976692641
*C(C*)c1cc(ccc1)c1ccc(cc1)c1ccccc1,-8.206213193,0.797625031
*C(C*)c1cc(ccc1)Cl,-9.146134071,1.576215131
*C(C*)c1cc(ccc1)F,-9.122938059,1.664691719
*C(C*)c1ccc(cc1)C,-8.714613429,1.989983099
*C(C*)c1ccc(cc1)CC,-8.727988551,1.973784429
*C(C*)c1ccc(cc1)C(C)C,-8.729435214,1.962391979
*C(C*)c1ccc(cc1)CCCC,-8.715583872,1.937867192
*C(C*)c1ccc(cc1)C(C)(C)C,-8.724797096,1.963289849
*C(C*)c1ccc(cc1)C(CC)C,-8.714396079,1.96634418
*C(C*)c1ccc(cc1)CCCCCC,-8.724421275,1.906949445
*C(C*)c1ccc(cc1)CCCCCCCC,-8.723102188,1.912312962
*C(C*)c1ccc(cc1)CCCCCCCCC,-8.712166875,1.937852065
*C(C*)c1ccc(cc1)CCCCCCCCCC,-8.710439859,1.939533292
*C(C*)c1ccc(cc1)CCCCCCCCCCCC,-8.710187566,1.940580982
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCC,-8.714252594,1.91631921
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCC,-8.735614474,1.884279401
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCCCC,-8.750005633,1.809890857
*C(C*)c1ccc(cc1)c1ccccc1,-8.394375689,1.191722444
*C(C*)c1ccc(cc1)COCCOCC,-8.771366295,1.92234006
*C(C*)c1ccc(cc1)C#N,-9.505494183,0.616445494
*C(C*)c1ccc(cc1)Cl,-8.999302958,1.558310647
*C(C*)c1ccc(cc1)Br,-8.906161005,1.565161189
*C(C*)c1ccc(cc1)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-9.655734231,1.056249054
