smiles,qm_homo_monomer,qm_lumo_monomer,atom_count
*C(C(*)(F)F)(c1ccccc1)F,-9.593549107,1.440663909,13
*C(C(*)(F)F)(c1c(c(c(c(c1F)F)F)F)F)F,-10.11455314,0.480742988,18
*C(C*)c1c2c(ccc1)cccc2,-8.127041789,0.836876695,14
*C(C*)c1ccc(cc1)C(=O)C,-9.279628375,0.592187284,13
*C(C*)c1ccc(cc1)C(=O)CCN1CCOCC1,-8.748298819,0.641377881,20
*C(C*)(C(=O)OC)c1ccccc1,-9.195707944,1.725341357,14
*C(C*)(c1ccc(cc1)C)C,-8.715668415,1.995843819,12
*C(C(*)c1ccccc1)[N+](=O)[O-],-9.407374674,0.608511017,13
*C(C*)c1ccc(cc1)C(=O)C(F)(F)F,-9.670174856,-0.151436822,16
*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)OC,-8.674030755,0.451904041,20
*C(C*)c1cc2c(cc1)cccc2,-8.17058215,0.893447003,14
*C(C*)c1ccncc1,-9.635012171,1.465823041,10
*C(C*)c1nc(ccc1)C,-9.139518852,1.4302675,11
*C(C*)c1ccc(nc1)C,-9.078112938,1.444214224,11
*C(C*)N1Nc2c(C1)cccc2,-8.208824203,1.793298344,13
*C(C(C(C*)c1ncccc1)c1ccccc1)c1ncccc1,-8.951152898,1.256395446,24
*C(C*)c1ccc(cc1)O,-8.323026849,1.876728759,11
*C(C*)c1ccc(cc1)OC(=O)C,-8.885938291,1.811232567,14
*C(C*)c1ccc(cc1)CCC,-8.724661092,1.934721255,13
*C(C*)c1ccc(cc1)COCCCCCCOc1ccc(cc1)c1ccc(cc1)OC,-7.704002921,1.615332232,33
*C(C*)c1ccc(cc1)COCC(CCCC)CC,-9.018481001,1.6420104,20
*C(C*)c1ccc(cc1)COCCOCCCCCCCC,-8.753594981,1.938177364,23
*C(C*)c1ccc(cc1)C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-9.621165126,1.089599887,28
*C(CC(C*)c1ccccc1)(C(=O)OC)C#N,-9.353921328,1.590560804,18
*C(C*)c1cc(c(cc1)C(=O)O)C(=O)O,-9.603688604,0.422415621,16
*C(C(*)(c1c(c(c(c(c1[2H])[2H])[2H])[2H])[2H])[2H])([2H])[2H],-9.030828623,1.972373725,18
*C(C*)O,-10.19812515,2.820924933,5
*C(C*)C=O,-9.747383456,1.685012252,6
*C(C*)OC(=O)CCCCCCCCCCC,-10.28287607,2.589759535,18
*C(C*)C(=O)C,-9.585158489,2.022344441,7
*C(C*)C(=O)C(C)C,-9.450553877,1.953343579,9
*C(C*)(C(=O)C)C,-9.479103283,1.929872884,8
*C(C*)C#N,-11.6387207,2.326917877,6
*C(C*)(C#N)C,-11.54622776,2.339040359,7
*C(C*)c1ncccc1,-9.400859548,1.396165204,10
*C(C*)n1c2ccccc2c2ccccc12,-7.728115601,1.050737639,17
*C(C*)OC,-9.758385388,3.07721184,6
*C(C*)OCC,-9.680308308,3.048899093,7
*C(C*)OC(=O)C,-10.30841695,2.65813703,8
*C(C*)OC(=O)CC,-10.28228628,2.781263027,9
*C(C*)OC(=O)c1ccccc1,-9.599280015,0.775461419,13
*C(C*)CCCCCCCCCO,-10.07576469,2.797669232,14
*C(C*)CCN(C(C)C)C(C)C,-8.120159961,2.772454483,13
*C(C*)CCCN(C(C)C)C(C)C,-8.030227766,2.81053956,14
*C(C*)CCCN(CC(C)C)CC(C)C,-8.475404949,2.831874316,16
*C(C*)O[N+](=O)[O-],-11.46804333,0.829489211,8
*C=CC(C(*)C(=O)OC)C,-9.718652522,2.58435534,11
*C#C/C(=C(*)\COS(=O)(=O)c1ccc(cc1)C)COS(=O)(=O)c1ccc(cc1)C,-9.456401777,0.23239324,30
*C(C*)OC=O,-10.63663255,2.523238264,7
*C(C*)OCc1ccccc1,-9.156135288,1.842349093,12
*C(C*)OC(C)(C)C,-9.605221484,2.852165991,9
*C(C(*)OCC(C)C)C,-9.752056447,2.943832222,10
*C(C*)OC(C)C,-9.661700362,2.989205755,8
*C(C*)(OC)C,-9.692718522,2.975483464,7
*C(C*)OCC(C)(C)C,-9.767260672,2.832084518,10
*C(C*)OC(CC)C,-9.654914183,2.882503093,9
*C(C*)OC(=O)C(F)(F)F,-11.27543967,1.544571707,11
*/C=C/C(C*)OC,-9.708645497,2.477696814,8
*C=CCC(CC*)(C(=O)OC)C,-9.551183779,2.545965614,13
*C(C*)CCc1c(cccc1)C,-8.83160355,1.984716137,13
*C(C*)CCc1ccc(cc1)C,-8.709533115,1.951269448,13
*C(C*)OCCCCCCCCCCCC,-9.641822051,2.879623411,17
*C(C(*)OCCCC)C,-9.665570701,2.862234328,10
*C(C(*)OC(C)(C)C)C,-9.585339985,2.807283307,10
*C(C(*)OCC)C,-9.686013075,3.010112515,8
*C(C(*)OC(C)C)C,-9.656925817,2.976057711,9
*C(C(*)OC)C,-9.755317755,3.024319856,7
*C(C(*)OCCC)C,-9.730403337,3.001340513,9
*C(C*)Cc1c(ccc(c1)C)C,-8.574791248,1.964388831,13
*C(C*)Cc1cc(c(cc1)C)C,-8.592428997,2.084311778,13
*C(C*)Cc1cc(cc(c1)C)C,-8.78019229,2.025390322,13
*C(C*)Cc1cc(ccc1)C,-8.838173894,1.989281352,12
*C(C*)Cc1c(cccc1)C,-8.83588326,1.979780356,12
*C(C*)Cc1ccc(cc1)C,-8.711866855,1.945990364,12
*C(C(*)O)C,-10.12536907,2.865651236,6
*C(C*)OC(=O)c1ccc(cc1)C(C)(C)C,-9.237292632,0.886565759,17
*C(C*)C(=O)C(C)(C)C,-9.372582169,2.029158742,10
*C(C*)C(=O)C1CCCCC1,-9.321915363,1.789498156,12
*C(C*)C(=O)c1c(cccc1)O,-8.712974896,0.298434742,13
*C=CC(C*)OC,-9.707988942,2.47778017,8
*C(=CCC*)c1ccccc1,-8.318219536,1.202674284,12
*C(O)C(*)O,-10.02257357,2.604343928,6
*C(C*)OCC(CCCC)CC,-9.682221188,2.939502936,13
*C(C*)SCCCC,-8.497096416,2.659989173,9
*C(C*)OC1CCCCC1,-9.58109526,2.852823264,11
*C(C*)SCC,-8.543529828,2.687491601,7
*C(C(*)(F)F)(OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,-12.57038676,2.822650286,21
*C(C(*)(F)F)(OC(C(F)(F)F)(F)F)F,-12.5939483,3.165370972,15
*C(C(*)(F)F)(OC(F)(F)F)OC(F)(F)F,-12.6470376,2.938814131,16
*C(C(*)(F)F)OC(F)(F)F,-12.31439092,3.057651065,11
*C(C(*)F)(OC(F)(F)F)F,-12.5052208,3.088718743,11
*C(C(*)(F)F)(OC(F)(F)F)F,-12.573321,3.188127183,12
*C(C*)OCC(CC)(C)C,-9.73305236,2.869293381,11
*C(C*)SC,-8.578004238,2.720915735,6
*C(C*)OCCC,-9.689518423,3.020235219,8
*C(C*)(C(=O)C)F,-9.823876405,1.601350532,8
*C(C*)C(=O)c1ccccc1,-9.589423384,0.530306815,12
*C(C*)C(=O)c1cc(c(cc1)Br)OC,-8.828403788,0.287148266,15
*C(C*)C(=O)c1ccc(cc1)C(C)(C)C,-9.251582199,0.624034855,16
*C(C*)C(=O)c1ccc(cc1)Cl,-9.494974786,0.24516403,13
