smiles,BM,SA,SC,atom_count
*C(C*)c1ccc(cc1)C(C)C,2059387897.0,3.921450074,2.591048259,13
*C(C*)c1ccc(cc1)CCCC,2073662249.0,3.688362355,3.197522049,14
*C(C*)c1ccc(cc1)C(C)(C)C,2117500964.0,3.8964427,2.517668305,14
*C(C*)c1ccc(cc1)C(CC)C,2116421852.0,4.1713254,2.837898017,14
*C(C*)c1ccc(cc1)CCCCCC,2190053956.0,3.508642315,3.338917198,16
*C(C*)c1ccc(cc1)CCCCCCCC,2201867084.0,3.391874153,3.338917198,18
*C(C*)c1ccc(cc1)CCCCCCCCC,2272406928.0,3.348282784,3.338917198,19
*C(C*)c1ccc(cc1)CCCCCCCCCC,2454174040.0,3.312533036,3.338917198,20
*C(C*)c1ccc(cc1)CCCCCCCCCCCC,2066121238.0,3.260217637,3.338917198,22
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCC,2419761740.0,3.228118484,3.338917198,24
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCC,2509841289.0,3.211585483,3.338917198,26
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCCCC,2671260572.0,3.207331128,3.338917198,28
*C(C*)c1ccc(cc1)c1ccccc1,2442926795.0,3.267400376,2.764095896,16
*C(C*)c1ccc(cc1)COCCOCC,2638527695.0,3.669356191,2.726303917,17
*C(C*)c1ccc(cc1)C#N,2794517371.0,4.208675402,2.256511188,12
*C(C*)c1ccc(cc1)Cl,2377392172.0,4.1097311,2.229277029,11
*C(C*)c1ccc(cc1)Br,2391433504.0,4.233529561,1.9896503,11
*C(C*)c1ccc(cc1)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2151511435.0,4.065470177,3.240153251,32
*C(C*)c1ccc(cc1)C(=NO)C,3110292994.0,4.150007138,2.430708832,14
*C(C*)c1ccc(cc1)C(O)(C)C,3144148375.0,4.147099249,2.70351459,14
*C(C*)c1ccc(cc1)C(CC)(O)C,2614080310.0,4.465240241,2.929858284,15
*C(C*)c1ccc(cc1)C(CCC)(O)C,2835678653.0,4.356420123,2.80376597,16
*C(C*)c1ccc(cc1)C(CCCC)(O)C,2761051897.0,4.220278286,2.964009867,17
*C(C*)c1ccc(cc1)C(CCCCC)(O)C,2456421145.0,4.117727744,3.078427117,18
*C(C*)c1ccc(cc1)C(CCN(C)C)O,3277107369.0,4.147510727,3.006730241,17
*C(C*)c1ccc(cc1)C(CCN1CCCCC1)O,3075568703.0,3.827767897,3.321326325,20
*C(C*)c1ccc(cc1)C(CCN1CCOCC1)O,4079241561.0,3.907315265,3.401291291,20
*C(C*)c1ccc(cc1)COC,2231050782.0,3.901488975,2.722398882,13
*C(C*)c1ccc(cc1)COCCO,3352061246.0,3.830512014,2.49077112,15
*C(C*)c1ccc(cc1)COCCC,2523658518.0,3.756454871,2.638273194,15
*C(C*)c1ccc(cc1)COCCCC,2395779642.0,3.631273085,2.624836095,16
*C(C*)c1ccc(cc1)COCCCCO,3771915836.0,3.670348499,2.462797718,17
*C(C*)c1ccc(cc1)COC(CC)C,2086379984.0,4.118770213,2.740969554,16
*C(C*)c1ccc(cc1)COCCCCCC,2455278117.0,3.492090443,2.774107518,18
*C(C*)c1ccc(cc1)COCCOCCCC,2813936687.0,3.556975091,2.855900213,19
*C(C*)c1ccc(cc1)C(=O)N(C)C,3057016372.0,3.766025036,2.928614891,15
*C(C*)c1ccc(cc1)C(=O)N(CC)CC,2600784376.0,3.620225171,2.89061844,17
*C(C*)c1ccc(cc1)C(=O)N1CCCCC1,2654565401.0,3.382868723,2.771595819,18
*C(C*)c1ccc(cc1)C(=O)CCN1CCCCC1,3659720981.0,3.443347611,2.659164001,20
*C(C*)c1ccc(cc1)C(=O)N1CCOCC1,3343611167.0,3.486690443,3.184507886,18
*C(C*)c1ccc(cc1)C(=O)OC,2456014968.0,3.7074039,2.257566943,14
*C(C*)c1ccc(cc1)C(=O)OCC,2021211473.0,3.594364895,2.353676982,15
*C(C*)c1ccc(cc1)C(=O)OCCC,2175107597.0,3.60501763,2.72642554,16
*C(C*)c1ccc(cc1)C(=O)OC(C)C,2597709818.0,3.675620061,2.662490556,16
*C(C*)c1ccc(cc1)C(=O)OCCCC,2353138432.0,3.508875708,2.741536662,17
*C(C*)c1ccc(cc1)C(=O)OCC(C)C,2687180682.0,3.628147579,2.647282878,17
*C(C*)c1ccc(cc1)C(=O)OCCCCCC,2327883661.0,3.394637065,3.0933926,19
*C(C*)c1ccc(cc1)C(=O)CC,2382438080.0,3.872464628,1.996986651,14
